"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","33","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","2.488488","0","2"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","25","25","1","20.130844","0","25"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","7","9","1","19.263786","0","9"
"/Game/GameContent/Materials/MAT_EmissiveBase.MAT_EmissiveBase","0","3","3","1","3.557093","0","3"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","7","7","1","7.121115","0","7"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","6","6","1","7.147610","0","6"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","9","9","1","6.228700","0","9"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","6","6","1","7.461436","0","6"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","12.046305","0","10"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","30","35","1","46.975552","0","35"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","2.389151","0","2"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","3.570357","0","3"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","88","88","1","1130.668213","0","88"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","33","33","1","43.132324","0","33"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","12","1","20.825207","0","12"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","6","6","1","9.764122","0","6"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","3.887189","0","3"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","3","3","1","2.819494","0","3"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","1.564199","0","3"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","333","356","1","411.910614","0","356"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","12","14","1","20.939442","0","14"
"","0","1","0","1","0.000000","3","0"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","0","11","11","1","11.915646","13","17"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","12","12","2","17.576458","0","12"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","41","46","6","48.326897","0","46"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","1.399039","0","3"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","7.135720","0","6"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","5","1","3.635208","0","5"
"/Game/FirstPersonArms/Character/Materials/M_Mannequin.M_Mannequin","0","16","20","2","37.882935","0","20"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","1.566512","0","3"
"/Game/MainLevel/Materials/M_Enemy.M_Enemy","0","3","3","1","2.861763","0","3"
"/Game/MainLevel/3DAssets/standardSurface1.standardSurface1","0","3","3","1","2.785228","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","1.367314","0","2"
"/Game/GameContent/Materials/MAT_SuperSeeThroughBase.MAT_SuperSeeThroughBase","0","6","6","1","6.700013","0","6"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","2","2","1","2.825024","0","2"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","2.723812","0","2"
"/Game/MainLevel/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","12","12","1","12.652593","0","12"
"/Game/MainLevel/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","24","24","1","34.299824","0","24"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","33","36","1","38.620529","0","36"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","33","36","1","0.000000","0","36"
"/Game/MainLevel/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","0","15","15","1","15.145000","0","15"
"/Game/MainLevel/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","28","28","1","30.512400","0","28"
"/Game/MainLevel/Materials/M_Platforms.M_Platforms","0","3","3","1","3.449372","0","3"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","46","52","3","75.201424","0","52"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","12","14","1","23.765368","0","14"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","6","6","1","7.014460","0","6"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","9","9","1","13.923082","0","9"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","102","112","6","426.609192","0","112"
"/InterchangeAssets/gltf/M_Default.M_Default","0","110","128","6","490.623718","0","128"
